Title,Author,Avg_Rating,Total_Ratings,Votes,Score
The Cider House Rules,John Irving,4.17,195107,602,44699
"Legend (Legend, #1)",Marie Lu,4.15,562215,503,43909
Fangirl,Rainbow Rowell,3.94,778609,509,43861
Mrs. Dalloway,Virginia Woolf,3.78,354125,570,43859
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.45,664507,480,43275
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,325708,592,42742
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,509415,547,42741
Sophie’s World,Jostein Gaarder,3.97,280785,517,42647
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,385799,589,42587
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.29,673183,457,41889
The Awakening,Kate Chopin,3.69,226463,533,41814
A Little Life,Hanya Yanagihara,4.28,912712,442,41758
The Graveyard Book,Neil Gaiman,4.15,565347,515,40947
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,410658,530,40872
Black Beauty,Anna Sewell,4.0,297465,589,40852
Middlemarch,George Eliot,4.04,178475,512,40806
The Monster at the End of this Book,Jon Stone,4.46,126932,506,40674
Stardust,Neil Gaiman,4.1,480228,521,40579
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,971540,479,40385
Number the Stars,Lois Lowry,4.19,617429,524,39994
Sophie’s Choice,William Styron,4.17,94312,544,39884
The Prince of Tides,Pat Conroy,4.26,215969,525,39868
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,559787,504,39725
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,825028,535,39582
The Wasp Factory,Iain Banks,3.75,108108,451,39552
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,601452,548,39384
War and Peace,Leo Tolstoy,4.17,363942,476,39159
V for Vendetta,Alan             Moore,4.26,324144,512,39048
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81,1020431,537,39008
The Art of Racing in the Rain,Garth Stein,4.23,552457,458,38789
Eleanor & Park,Rainbow Rowell,3.92,1253973,450,38535
White Fang,Jack London,4.03,206329,547,38482
Beowulf,Unknown,3.5,344825,548,38387
Franny and Zooey,J.D. Salinger,3.96,239040,485,37973
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,479669,466,37911
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73,302031,459,37877
The Witches,Roald Dahl,4.18,426719,506,37861
Love You Forever,Robert Munsch,4.38,247094,486,37806
"Allegiant (Divergent, #3)",Veronica Roth,3.6,1137265,469,37735
A Short History of Nearly Everything,Bill Bryson,4.22,420385,454,37478
"The Gunslinger (The Dark Tower, #1)",Stephen  King,3.91,660963,461,37413
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,589195,435,37151
The Complete Novels,Jane Austen,4.57,33987,501,37096
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,3135707,402,37063
Gulliver’s Travels,Jonathan Swift,3.59,297893,567,36925
"If I Stay (If I Stay, #1)",Gayle Forman,3.91,964239,445,36807
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.36,94183,421,36712
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,1526728,421,36491
11/22/63,Stephen  King,4.35,644067,433,36342
The Grapes of Wrath,John Steinbeck,4.03,989221,475,36186
Tuck Everlasting,Natalie Babbitt,3.91,294399,491,36058
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.08,4547828,384,35505
Where the Crawdads Sing,Delia Owens,4.37,3582806,404,35378
’Salem’s Lot,Stephen  King,4.1,655621,473,35337
"A Child Called It (Dave Pelzer, #1)",Dave Pelzer,4.14,459427,451,35299
Circe,Madeline Miller,4.22,1332835,402,35249
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,910433,421,35212
Bel Canto,Ann Patchett,3.94,320484,428,35119
Inferno,Dante Alighieri,4.03,205069,466,34807
A Portrait of the Artist as a Young Man,James Joyce,3.64,163536,460,34757
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,661297,500,34667
The Collector,John Fowles,3.97,92873,414,34463
Tao Te Ching,Lao Tzu,4.29,181399,433,34190
Cloud Atlas,David  Mitchell,4.01,266737,412,34131
The Hunchback of Notre-Dame,Victor Hugo,4.02,217292,492,34126
As I Lay Dying,William Faulkner,3.72,186150,454,34118
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,244514,498,34065
القرآن الكريم,Anonymous,4.38,72291,382,33977
Cold Mountain,Charles Frazier,3.89,249639,463,33956
Mansfield Park,Jane Austen,3.86,378239,482,33881
Go Ask Alice,Beatrice Sparks,3.74,291353,453,33780
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.05,489423,432,33544
The Invisible Life of Addie LaRue,V.E. Schwab,4.17,1479484,369,33336
A Separate Peace,John Knowles,3.6,231700,452,33246
The BFG,Roald Dahl,4.23,524437,446,33214
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.98,1161191,378,33184
The Martian Chronicles,Ray Bradbury,4.16,284581,442,33157
Steppenwolf,Hermann Hesse,4.13,213780,423,33093
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.11,413251,428,33069
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.15,354090,390,33001
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.15,217175,374,32838
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,620257,406,32758
Less Than Zero,Bret Easton Ellis,3.6,98552,365,32593
Robinson Crusoe,Daniel Defoe,3.68,330139,487,32545
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1352480,410,32541
The Remains of the Day,Kazuo Ishiguro,4.14,356889,439,32432
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.13,295695,363,32105
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,335889,388,32093
Coraline,Neil Gaiman,4.13,778249,412,31747
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.19,212152,391,31714
Requiem for a Dream,Hubert Selby Jr.,4.11,64881,357,31668
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.38,414207,393,31402
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.11,382332,403,31376
The Plague,Albert Camus,4.02,312163,420,31171
Doctor Zhivago,Boris Pasternak,4.01,102601,465,31043
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34,1032,311,30907
Dear John,Nicholas Sparks,4.04,617228,394,30827
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.95,115877,351,30760
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,244553,391,30754
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,1721368,369,30716
The English Patient,Michael Ondaatje,3.86,138959,420,30642
The Firm,Robin Waterfield,4.07,638250,448,30579
Midnight’s Children,Salman Rushdie,3.97,132517,371,30386
The Nightingale,Kristin Hannah,4.65,2053289,342,30131
Like Water for Chocolate,Laura Esquivel,3.95,393334,424,30116
The Last Song,Nicholas Sparks,4.16,570991,371,30114
All the Bright Places,Jennifer Niven,4.11,625282,328,30108
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.62,1372713,348,30066
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.34,383720,377,29870
"The One (The Selection, #3)",Kiera Cass,4.14,772702,351,29782
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,3.98,336885,368,29768
Midnight in the Garden of Good and Evil,John Berendt,3.92,294125,424,29534
"Girl, Interrupted",Susanna Kaysen,3.94,276271,340,29517
A Streetcar Named Desire,Tennessee Williams,3.98,333516,441,29393
My Ántonia,Willa Cather,3.84,147094,399,29202
Last Exit to Brooklyn,Hubert Selby Jr.,3.93,30111,329,29116
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85,250867,406,28993
Hidden Pictures,Jason Rekulak,4.15,575185,309,28969
We Were Liars,E. Lockhart,3.65,1380551,321,28883
The Prince,Niccolò Machiavelli,3.84,380763,402,28781
Breakfast of Champions,Kurt Vonnegut Jr.,4.06,278914,366,28740
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15,458535,384,28725
"Red, White & Royal Blue",Casey McQuiston,4.05,1214323,320,28713
The Origin of Species,Charles Darwin,4.01,121633,393,28570
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.12,1060234,314,28557
Kill Your Friends,John Niven,3.81,11877,315,28351
A Fine Balance,Rohinton Mistry,4.38,159359,338,28349
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.45,1005166,326,28294
American Tabloid (Underworld USA #1),James Ellroy,4.19,21137,313,28230
Persuasion,Jane Austen,4.15,771488,358,28217
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,236950,374,28136
A Simple Plan,Scott        Smith,3.92,34325,316,28089
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,788561,367,28088
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9,217987,319,28075
"Hopeless (Hopeless, #1)",Colleen Hoover,4.22,677283,316,28037
Penance,Eliza  Clark,3.86,44599,313,27981
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39,993636,336,27814
Infinite Jest,David Foster Wallace,4.25,100963,304,27716
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,384256,328,27688
Winter's Bone,Daniel Woodrell,3.87,39756,307,27586
The Quiet Tenant,Clémence Michallon,3.81,142591,305,27497
Layer Cake,J.J. Connolly,4.05,3082,304,27475
"The Host (The Host, #1)",Stephenie Meyer,3.86,1046821,338,27350
Carrie,Stephen  King,3.99,839201,385,27302
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,208819,400,27283
City of God,Paulo Lins,3.98,3328,304,27215
Death of a Salesman,Arthur Miller,3.59,257833,419,27157
Savages (Savages #2),Don Winslow,3.87,21516,300,27050
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.3,578409,377,27007
"Evermore (The Immortals, #1)",Alyson Noel,3.6,298342,327,26983
Clockers,Richard Price,4.09,10556,300,26941
The Beach,Alex Garland,3.99,97540,305,26928
The Scarlet Pimpernel,Emmuska Orczy,4.07,141355,347,26769
The Killer Inside Me,Jim Thompson,3.86,25891,299,26635
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,4.0,754447,348,26538
Crash,J.G. Ballard,3.6,29967,297,26448
Snow Flower and the Secret Fan,Lisa See,4.09,386849,336,26374
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,2647234,304,26299
Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,254221,325,26296
"Faust, First Part",Johann Wolfgang von Goethe,3.83,85716,351,26155
Sharp Objects,Gillian Flynn,4.01,1212095,298,26137
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,561369,340,26121
Northanger Abbey,Jane Austen,3.85,450830,380,26101
Trainspotting,Irvine Welsh,4.11,178201,290,26081
Night,Elie Wiesel,4.38,1355537,323,25880
"[No Country for Old Men] (By: Cormac McCarthy) [published: December, 2007]",Cormac McCarthy,4.17,244498,287,25819
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,401057,296,25811
"Matched (Matched, #1)",Ally Condie,3.62,813764,320,25727
"The Angel Experiment (Maximum Ride, #1)",James  Patterson,4.07,233041,315,25647
The Haunting of Hill House,Shirley Jackson,3.81,390353,317,25568
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,464332,298,25551
"The Black Dahlia Ellroy, James ( Author ) Aug-01-2006 Paperback",James Ellroy,3.78,95759,282,25521
Local Woman Missing,Mary Kubica,4.12,740001,271,25503
The Goldfinch,Donna Tartt,3.96,1033978,296,25472
Waiting for Godot,Samuel Beckett,3.84,221294,339,25434
High Fidelity,Nick Hornby,3.9,214630,317,25370
To the Lighthouse,Virginia Woolf,3.81,213400,339,25297
Audition,Ryū Murakami,3.52,18705,279,25286
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,505380,365,25285
"Hidden Bodies (You, #2)",Caroline Kepnes,3.74,90766,280,25229
"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,4.18,37018,282,25139
The Shipping News,Annie Proulx,3.88,152285,344,25094
Emma,Jane Austen,4.05,975865,331,25090
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.03,511131,361,25063
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,4.29,27940,265,25055
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.58,1032691,341,24887
Nineteen Minutes,Jodi Picoult,4.18,419123,310,24787
Pet Sematary,Stephen  King,4.08,693668,336,24766
"The Chosen (Reuven Malter, #1)",Chaim Potok,4.07,97083,336,24750
"Neuromancer (Sprawl, #1)",William Gibson,3.89,362213,306,24665
Shantaram,Gregory David Roberts,4.28,238217,280,24647
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,377403,341,24585
A Christmas Carol,Charles Dickens,4.09,925390,354,24518
High-Rise,J.G. Ballard,3.61,38534,272,24479
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.34,735478,323,24463
Houdini Heart,Ki Longfellow,3.84,5452,253,24357
The Reader,Bernhard Schlink,3.79,230459,342,24321
Redeeming Love,Francine  Rivers,4.51,368902,276,24304
Galveston,Nic Pizzolatto,3.74,16609,268,24296
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,3.76,652053,311,24076
Angels Fall,Nora Roberts,4.05,53421,267,23995
"In Cold Blood by Truman Capote [Random,2002]",Truman Capote,4.09,725135,265,23895
"The Wicked King (The Folk of the Air, #2)",Holly Black,4.27,1057515,273,23874
"My Sister, the Serial Killer",Oyinkan Braithwaite,3.64,349248,264,23630
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.33,953027,270,23565
Notes on an Execution,Danya Kukafka,4.04,142703,260,23450
The Age of Innocence,Edith Wharton,3.97,194688,325,23310
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02,567743,307,23261
The Tesseract,Alex Garland,3.34,8033,258,23251
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3.95,3382757,301,23224
Dubliners,James Joyce,3.83,174934,325,23191
The Republic,Plato,3.97,224872,340,23170
The Silent Patient,Alex Michaelides,4.17,3186025,265,23070
The Waste Land,T.S. Eliot,4.11,58946,322,22909
Tokyo: The Devil of Nanking,Mo Hayder,3.94,13158,253,22832
The Winter of Frankie Machine,Don Winslow,4.19,13322,251,22598
"Voyager (Outlander, #3)",Diana Gabaldon,4.39,329683,288,22404
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27,1012182,296,22362
Sense and Sensibility,Jane Austen,4.09,1289125,312,22320
The Twilight Collection,Stephenie Meyer,3.82,47344,286,22312
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.5,1116010,312,22203
The Jungle,Upton Sinclair,3.78,154184,307,22017
Libra,Don DeLillo,4.05,21040,244,21954
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.43,188886,266,21848
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.86,567949,322,21846
"Betrayed (House of Night, #2)",P.C. Cast,3.92,279477,285,21786
Me Talk Pretty One Day,David Sedaris,4.01,719108,295,21776
The Pearl,John Steinbeck,3.56,269528,340,21721
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.01,303976,319,21700
Snow Falling on Cedars,David Guterson,3.86,193915,319,21683
"Untamed (House of Night, #4)",P.C. Cast,3.94,244599,280,21497
"I, Claudius (Claudius, #1)",Robert Graves,4.24,72890,292,21466
"The Exorcist (The Exorcist, #1)",William Peter Blatty,4.21,269928,313,21438
"The Elite (The Selection, #2)",Kiera Cass,3.94,866617,268,21437
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.76,480581,230,21411
Everything is Illuminated,Jonathan Safran Foer,3.89,183661,264,21367
Macbeth,William Shakespeare,3.89,1013801,286,21103
A Room with a View,E.M. Forster,3.89,200984,320,21092
World War Z: An Oral History of the Zombie War,Max Brooks,4.02,565011,269,21039
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.1,751330,251,21023
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.0,478820,254,20891
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.02,554094,248,20843
The War of the Worlds,H.G. Wells,3.83,348088,314,20776
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.45,2035946,234,20717
Bleak House,Charles Dickens,4.02,113814,286,20501
"Chosen (House of Night, #3)",P.C. Cast,3.91,254229,269,20367
"We Need to Talk About Kevin by Shriver, Lionel. (Harper Perennial,2006) [Paperback]",Lionel Shriver,4.08,211661,224,20138
"Unwind (Unwind, #1)",Neal Shusterman,4.17,248334,237,20136
The Woman in White,Wilkie Collins,4.01,165538,289,20099
The Complete Poems of Emily Dickinson,Emily Dickinson,4.28,106547,313,20074
Brideshead Revisited,Evelyn Waugh,4.0,126129,271,20043
North and South,Elizabeth Gaskell,4.15,182550,261,19984
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.92,1096642,241,19964
انتحار فاشل,أحمد جمال الدين رمضان,4.54,3319,203,19943
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.63,1202075,234,19852
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.18,335115,267,19846
Ugly Love,Colleen Hoover,3.99,2278789,220,19758
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,338472,222,19701
The God Delusion,Richard Dawkins,3.9,282438,250,19648
العصبي,أحمد جمال الدين رمضان,4.59,2892,199,19551
The Left Hand of Darkness,Ursula K. Le Guin,4.1,218332,246,19417
Of Human Bondage,W. Somerset Maugham,4.16,61346,271,19415
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.42,877404,220,19407
"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.87,218286,237,19386
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.1,590456,211,19338
Snow Crash,Neal Stephenson,4.01,297031,226,19190
Much Ado About Nothing,William Shakespeare,4.06,257807,286,19169
Those Empty Eyes,Charlie Donlea,4.15,90201,201,19110
Vanity Fair,William Makepeace Thackeray,3.81,132938,275,19080
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,4.1,124033,256,19046
The Love Hypothesis,Ali Hazelwood,4.1,1853480,210,19025
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.2,190858,242,18989
"Caraval (Caraval, #1)",Stephanie Garber,3.97,857646,208,18945
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.12,253288,227,18940
"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,4.16,899308,199,18915
Far From the Madding Crowd,Thomas Hardy,3.97,165656,270,18832
Johnny Got His Gun,Dalton Trumbo,4.21,48486,232,18793
A Man Called Ove,Fredrik Backman,4.38,1201817,218,18742
A Monster Calls,Patrick Ness,4.35,288965,212,18695
Daisy Jones & The Six,Taylor Jenkins Reid,4.2,1832849,208,18691
Verity,Colleen Hoover,4.29,3723067,207,18616
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.27,296248,218,18481
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,4.21,301550,291,18462
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06,153412,270,18444
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,224115,287,18439
"They Both Die at the End (They Both Die at the End, #1)",Adam Silvera,3.75,862046,205,18372
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.1,424439,245,18274
Are You My Mother?,P.D. Eastman,4.22,252112,276,18266
"Bared to You (Crossfire, #1)",Sylvia Day,4.13,549729,214,18183
